startup_id,startup_name,legal_name,website,district,city,sector,sub_sector,founded_year,founders,funding_status,total_funding_usd,total_funding_inr,verification_level,confidence_score,coordinate_precision
"tns_000011","Chai Kings","Four Quarters Foods Private Limited","https://chaikings.com","Chennai","Chennai","Consumer","QSR & Food Retail","2016","Dinesh Singaravelu; Jahabar Sadique","Funded","$3.2M","","4","95","VERIFIED_ADDRESS"
"tns_000012","HitWicket","Hitwicket Superstars Private Limited","https://hitwicket.com","Chennai","Chennai","Consumer","Esports Gaming & Interactive AI","2015","Kashyap Reddy; Keerti Singh","Funded","$3.0M","","4","95","VERIFIED_ADDRESS"
"tns_000013","Simbioen Labs","Simbioen Labs & Scientific Services Private Limited","https://simbioenlabs.com","Chengalpattu","Vandalur","BioTech","Industrial Microbial Biotechnology","2019","Dr. Suresh Babu","Funded","","₹50 Lakhs","4","95","VERIFIED_ADDRESS"
"tns_000014","Uzhavarbumi","Uzhavarbumi Agro Products Private Limited","https://uzhavarbumi.com","Chengalpattu","Maduranthakam","Agritech","Direct-to-Consumer Fresh Dairy Supply Chain","2017","Vetrivel Palani; Paneerselvam","Funded","","₹7 Crore","4","95","VERIFIED_ADDRESS"
"tns_000015","Mango Point","Mango Point Ventures Private Limited","https://mangopoint.in","Tiruvallur","Gummidipoondi","Agritech","Chemical-Free Fruit Value Chain & Cold Chain","2019","Prasanna Venkataraman","Funded","","₹3.5 Crore","4","95","VERIFIED_ADDRESS"
"tns_000016","SP Robotics Works","SP Robotic Works Private Limited","https://sproboticworks.com","Kanchipuram","Sriperumbudur corridor","EdTech","Robotics & STEM Experiential Learning","2015","Pranavan S; Sneha Priya","Funded","$3.5M","","4","95","VERIFIED_ADDRESS"
"tns_000017","BNC Motors","Bharat New Energy Company Private Limited","https://bncmotors.in","Coimbatore","Saravanampatti","EV","Electric Two-Wheelers & Battery Systems","2020","Anirudh Ravi Narayanan","Funded","$12M","","4","95","VERIFIED_ADDRESS"
"tns_000018","BuyOFuel","BuyOFuel Marketplace Private Limited","https://buyofuel.com","Coimbatore","Peelamedu","ClimateTech","Biofuels & Biomass Marketplace","2020","Kishan Karunakaran; Prasad P","Funded","","₹14 Crore","4","95","VERIFIED_ADDRESS"
"tns_000019","4miZyme Biosciences","4miZyme Biosciences Private Limited","https://4mizyme.com","Coimbatore","Peelamedu","BioTech","Industrial Enzymes & Biocatalysts","2019","Dr. R. Anand","Funded","","₹1.8 Crore","4","95","VERIFIED_ADDRESS"
"tns_000020","Keeraikadai","Keeraikadai Ventures Private Limited","https://keeraikadai.com","Coimbatore","Coimbatore","Agritech","Natural Superfoods & Agritech Processing","2018","G. Sriram Prasad","Funded","","₹4 Crore","4","98","VERIFIED_ADDRESS"
"tns_000021","Ather Energy","Ather Energy Private Limited","https://www.atherenergy.com","Krishnagiri (Hosur)","Hosur","EV","Smart Electric Two-Wheelers & Fast Charging","2013","Tarun Mehta; Swapnil Jain","Funded","$450M","","4","98","VERIFIED_ADDRESS"
"tns_000022","insideFPV","insideFPV Ventures Private Limited","https://insidefpv.com","Vellore","Katpadi","DeepTech","FPV Drones & Autonomous Robotics","2020","Arth Chowdhary; Deyvant Bhardwaj","Funded","","₹3.5 Crore","4","98","VERIFIED_ADDRESS"
"tns_000023","NervePro","NervePro Medical Devices Private Limited","https://nervepro.in","Salem","Suramangalam","HealthTech","Intraoperative Surgical Devices & Nerve Monitors","2021","Dr. Karthik S","Funded","","₹60 Lakhs","4","95","VERIFIED_ADDRESS"
"tns_000024","Farmers Fresh Zone","Farmers Fresh Zone Private Limited","https://farmersfz.com","Madurai","Madurai","Agritech","Farm-to-Fork Traceability D2C","2018","Pradeep P S","Funded","$3.2M","","4","95","VERIFIED_ADDRESS"
"tns_000025","Kaigal.com","Kaigal Online Private Limited","https://kaigal.com","Madurai","Madurai","EdTech","Blue-Collar Workforce Recruitment Tech","2020","Muthukumar S","Funded","","₹50 Lakhs","4","95","VERIFIED_ADDRESS"
"tns_000026","Realtech Systems","Realtech Systems Erode Private Limited","https://realtech.in","Erode","Perundurai","Agritech","Smart Irrigation & Motor Automation IoT","2012","P. Ravichandran","Bootstrapped","","","4","95","VERIFIED_ADDRESS"
