canonical_startup_id,canonical_name,website,district,city,sector,funding_status,origin,verification_level,confidence_score
"stp_f04fa76e0e5ef519","CardamomCloud IoT","https://cardamomcloud-iot.in","Theni","Theni Technology Zone","Agritech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_76ec9172d139112e","Yelagiri EcoVentures","https://yelagiri-ecoventures.in","Tirupathur","Tirupathur Technology Zone","Consumer","BOOTSTRAPPED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_30a122163c0676e9","Tiruvallur EV Motors","https://tiruvallur-ev-motors.in","Tiruvallur","Tiruvallur Technology Zone","EV","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_0934df6bebc86c23","Arunachala Organics","https://arunachala-organics.in","Tiruvannamalai","Tiruvannamalai Technology Zone","Agritech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_f9e4686da3eecce3","Delta BioPesticides","https://delta-biopesticides.in","Tiruvarur","Tiruvarur Technology Zone","Agritech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_a2117b09083f873c","Auroville CleanEnergy","https://auroville-cleanenergy.in","Viluppuram","Viluppuram Technology Zone","ClimateTech","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_9972438d0aa1aa25","EcoCement ClinkerTech","https://ecocement-clinkertech.in","Ariyalur","Ariyalur Technology Zone","Manufacturing","SEED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_d491b9f571640c68","Freshworks","https://freshworks.com","Chennai","Chennai (Perungudi, OMR)","SaaS","VENTURE_FUNDED","PRESERVED_EXISTING_UNIQUE","4","95"
"stp_8f6ca1cc7c460297","KRB Groups","https://trackifyapp.co.in/","Chennai","Porur","DeepTech","BOOTSTRAPPED","PRESERVED_EXISTING_UNIQUE","4","95"
"startup_000002","Uniphore","https://www.uniphore.com","Chennai","Chennai","AI","Funded","NEW_VERIFIED_RESEARCH","4","98"
"startup_000005","Planys Technologies","https://planystech.com","Chennai","Chennai","DeepTech","Funded","NEW_VERIFIED_RESEARCH","4","98"
"startup_000006","GalaxEye Space","https://galaxeye.space","Chennai","Chennai","SpaceTech","Funded","NEW_VERIFIED_RESEARCH","4","98"
"startup_000009","XYMA Analytics","https://xyma.in","Chennai","Chennai","DeepTech","Funded","NEW_VERIFIED_RESEARCH","4","98"
"startup_000010","Paperflite","https://www.paperflite.com","Chennai","Chennai","SaaS","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000011","Chai Kings","https://chaikings.com","Chennai","Chennai","Consumer","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000012","HitWicket","https://hitwicket.com","Chennai","Chennai","Consumer","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000013","Simbioen Labs","https://simbioenlabs.com","Chengalpattu","Vandalur","BioTech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000014","Uzhavarbumi","https://uzhavarbumi.com","Chengalpattu","Maduranthakam","Agritech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000015","Mango Point","https://mangopoint.in","Tiruvallur","Gummidipoondi","Agritech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000016","SP Robotics Works","https://sproboticworks.com","Kanchipuram","Sriperumbudur corridor","EdTech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000017","BNC Motors","https://bncmotors.in","Coimbatore","Saravanampatti","EV","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000018","BuyOFuel","https://buyofuel.com","Coimbatore","Peelamedu","ClimateTech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000019","4miZyme Biosciences","https://4mizyme.com","Coimbatore","Peelamedu","BioTech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000020","Keeraikadai","https://keeraikadai.com","Coimbatore","Coimbatore","Agritech","Funded","NEW_VERIFIED_RESEARCH","4","98"
"startup_000022","insideFPV","https://insidefpv.com","Vellore","Katpadi","DeepTech","Funded","NEW_VERIFIED_RESEARCH","4","98"
"startup_000023","NervePro","https://nervepro.in","Salem","Suramangalam","HealthTech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000024","Farmers Fresh Zone","https://farmersfz.com","Madurai","Madurai","Agritech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000025","Kaigal.com","https://kaigal.com","Madurai","Madurai","EdTech","Funded","NEW_VERIFIED_RESEARCH","4","95"
"startup_000026","Realtech Systems","https://realtech.in","Erode","Perundurai","Agritech","Bootstrapped","NEW_VERIFIED_RESEARCH","4","95"
