existing_id,public_id,startup_name,authenticity_status,match_to_research_id,match_type,match_confidence,recommended_action
"stp-gen-26","stp_c562a1f02baaad70","HalwaTown D2C","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-27","stp_95b90e4d7f9df44e","Nellai Cloudworks","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-28","stp_35080ba4aafcb9db","LockSmart Security","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-29","stp_a1952bed4506a7d6","Sirumalai Agro Tech","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-30","stp_3cc51b0420932dd5","EggLogistics IoT","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-31","stp_affce2f5f3adebf8","Namakkal TruckGrid","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-32","stp_746620dad71096ba","Sivakasi SafePrint","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-33","stp_618b6795e9dac419","Virudhu Commodities","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-34","stp_89cd5eb2cf0cb574","EcoDye Systems","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-35","stp_ff73a4bbd46ebaca","BlueMountain TeaTech","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-36","stp_687623dc7f411a5d","Ooty EcoStay Platform","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-37","stp_841e5b16a6dfbbe5","Neyveli SolarGrid","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-38","stp_2232e8700b42dc81","MangoFresh PulpTech","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-39","stp_e7b3f06e371fcb68","KallaBio Biomass","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-40","stp_883b12e730a0c407","Cauvery Heritage Craft","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-41","stp_e8efde3a6ce4885e","AquaShield Sonar","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-42","stp_a05a5d6cc6c039e0","CottonTrace AI","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-43","stp_5287ae7e281e5a0a","StoneCraft CNC","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-44","stp_d2ad8c325ce5f0e6","DesalClean Tech","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-45","stp_6bc86dd99956c49c","GreenHide BioLeather","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-46","stp_7b83f2f8340bcf9e","Chettinad Heritage D2C","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-47","stp_f04fa76e0e5ef519","CardamomCloud IoT","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-48","stp_76ec9172d139112e","Yelagiri EcoVentures","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-49","stp_30a122163c0676e9","Tiruvallur EV Motors","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-50","stp_0934df6bebc86c23","Arunachala Organics","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-51","stp_f9e4686da3eecce3","Delta BioPesticides","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-52","stp_a2117b09083f873c","Auroville CleanEnergy","VERIFIED","","NO_MATCH","0","KEEP"
"stp-gen-53","stp_9972438d0aa1aa25","EcoCement ClinkerTech","VERIFIED","","NO_MATCH","0","KEEP"
"stp-freshworks","stp_d491b9f571640c68","Freshworks","VERIFIED","","NO_MATCH","0","KEEP"
"e77fc0ed-e85b-414b-86ea-45d2b8a8ff1b","stp_8f6ca1cc7c460297","KRB Groups","VERIFIED","","NO_MATCH","0","KEEP"
