startup_name,district,missing_fields,verification_level,confidence_score
Kisan Fresh Chennai 277,Chennai,website,2,73
Kuber Fintech Chennai 281,Chennai,founders,3,90
SynBio Enzymes Chennai 286,Chennai,founded_year,2,70
Cosmo Cosmos Chennai 289,Chennai,website,2,73
Indu Automation Chennai 291,Chennai,founders,3,90
Care Clinics Chennai 301,Chennai,website; founded_year; founders,2,68
Skill Verse Chennai 311,Chennai,founders,3,90
Stack Flow Chennai 313,Chennai,website,2,73
Kisan Farm Chennai 316,Chennai,founded_year,2,70
Astra Propulsion Chennai 321,Chennai,founders,3,90
Bio Therapeutics Chennai 325,Chennai,website,2,73
Pure Snacks Chennai 331,Chennai,founded_year; founders,3,88
Guru Tech Chennai 337,Chennai,website,2,73
Aero Cosmos Chennai 341,Chennai,founders,3,90
Cred Fintech Chennai 346,Chennai,founded_year,2,70
Sustain CleanTech Chennai 349,Chennai,website,2,73
Protein Biotech Chennai 351,Chennai,founders,3,90
Volt EV Chennai 361,Chennai,website; founded_year; founders,2,68
Synapse Analytics Chennai 371,Chennai,founders,3,90
Nano Technologies Chennai 373,Chennai,website,2,73
Skill Tutor Chennai 376,Chennai,founded_year,2,70
BioAgri Farm Chennai 381,Chennai,founders,3,90
Cred Money Chennai 385,Chennai,website,2,73
Stack Flow Chennai 391,Chennai,founded_year; founders,3,88
Cognitive Insights Chennai 397,Chennai,website,2,73
Pure Renewables Chennai 401,Chennai,founders,3,90
Aero Cosmos Chennai 406,Chennai,founded_year,2,70
Heritage Essentials Chennai 409,Chennai,website,2,73
Penny Fintech Chennai 411,Chennai,founders,3,90
Indu Automation Chennai 421,Chennai,website; founded_year; founders,2,68
Heal MedTech Chennai 431,Chennai,founders,3,90
Kisan Spices Chennai 433,Chennai,website,2,73
Cognitive Analytics Chennai 436,Chennai,founded_year,2,70
Skill Skills Chennai 441,Chennai,founders,3,90
Zenith Cosmos Chennai 445,Chennai,website,2,73
Nano Photonics Chennai 451,Chennai,founded_year; founders,3,88
Care Therapeutics Chennai 457,Chennai,website,2,73
Pure Foods Chennai 461,Chennai,founders,3,90
Solar CleanTech Chennai 466,Chennai,founded_year,2,70
Stack Flow Chennai 469,Chennai,website,2,73
Aero Cosmos Chennai 471,Chennai,founders,3,90
Microbe Life Sciences Chennai 481,Chennai,website; founded_year; founders,2,68
Electro Battery Chennai 491,Chennai,founders,3,90
Dexter Tutor Chennai 493,Chennai,website,2,73
Care Health Chennai 496,Chennai,founded_year,2,70
Turing Analytics Chennai 501,Chennai,founders,3,90
Carbon Power Chennai 505,Chennai,website,2,73
Kisan Farm Chennai 511,Chennai,founded_year; founders,3,88
Power Charging Chennai 517,Chennai,website,2,73
Stack Base Chennai 521,Chennai,founders,3,90
Pure Essentials Chennai 526,Chennai,founded_year,2,70
Nano Aerospace Chennai 529,Chennai,website,2,73
Terra Enviro Chennai 531,Chennai,founders,3,90
Cred Fintech Chennai 541,Chennai,website; founded_year; founders,2,68
Indu Automation Chennai 551,Chennai,founders,3,90
Cognitive Sense Chennai 553,Chennai,website,2,73
EcoRide Power Chennai 556,Chennai,founded_year,2,70
Cardio Sensors Chennai 561,Chennai,founders,3,90
Royal Snacks Chennai 565,Chennai,website,2,73
Skill Tech Chennai 571,Chennai,founded_year; founders,3,88
Apex Automation Chennai 577,Chennai,website,2,73
Photon Sensors Chennai 581,Chennai,founders,3,90
Stack Flow Chennai 586,Chennai,founded_year,2,70
Kisan Innovations Chennai 589,Chennai,website,2,73
Pure Naturals Chennai 591,Chennai,founders,3,90
Aero Cosmos Chennai 601,Chennai,website; founded_year; founders,2,68
Gene Genomics Chennai 611,Chennai,founders,3,90
Care Health Chennai 613,Chennai,website,2,73
Indu Automation Chennai 616,Chennai,founded_year,2,70
Spark Mobility Chennai 621,Chennai,founders,3,90
Stack Flow Chennai 625,Chennai,website,2,73
Cognitive Analytics Chennai 631,Chennai,founded_year; founders,3,88
SynBio Biosciences Chennai 637,Chennai,website,2,73
Crop Farm Chennai 641,Chennai,founders,3,90
Nano Aerospace Chennai 646,Chennai,founded_year,2,70
Vidya Academy Chennai 649,Chennai,website,2,73
Stack Desk Chennai 651,Chennai,founders,3,90
Eco Recycle Chennai 661,Chennai,website; founded_year; founders,2,68
Kuber Fintech Chennai 671,Chennai,founders,3,90
Drive Power Chennai 673,Chennai,website,2,73
Bio Labs Chennai 676,Chennai,founded_year,2,70
Indu Automation Chennai 681,Chennai,founders,3,90
Nano Photonics Chennai 685,Chennai,website,2,73
Care Therapeutics Chennai 691,Chennai,founded_year; founders,3,88
Cred Banking Chennai 697,Chennai,website,2,73
Skill Learning Chennai 701,Chennai,founders,3,90
Kisan Farm Chennai 706,Chennai,founded_year,2,70
Cognitive Cognition Chennai 709,Chennai,website,2,73
Astra Instruments Chennai 711,Chennai,founders,3,90
Pure Living Chennai 721,Chennai,website; founded_year; founders,2,68
Aero Cosmos Chennai 731,Chennai,founders,3,90
Prime Automation Chennai 733,Chennai,website,2,73
Cred Fintech Chennai 736,Chennai,founded_year,2,70
Enzyme Enzymes Chennai 741,Chennai,founders,3,90
Kisan Crops Chennai 745,Chennai,website,2,73
Torque Charging Chennai 751,Chennai,founded_year; founders,3,88
Propel Cosmos Chennai 757,Chennai,website,2,73
Synapse Analytics Chennai 761,Chennai,founders,3,90
Skill Academy Chennai 766,Chennai,founded_year,2,70
Care Clinics Chennai 769,Chennai,website,2,73
BioAgri Farm Chennai 771,Chennai,founders,3,90
Stack Flow Chennai 781,Chennai,website; founded_year; founders,2,68
Carbon Biofuels Chennai 791,Chennai,founders,3,90
Bio Genomics Chennai 793,Chennai,website,2,73
Aero Cosmos Chennai 796,Chennai,founded_year,2,70
Penny Fintech Chennai 801,Chennai,founders,3,90
Ace Tech Chennai 805,Chennai,website,2,73
Indu Automation Chennai 811,Chennai,founded_year; founders,3,88
Terra CleanTech Chennai 817,Chennai,website,2,73
Heal Care Chennai 821,Chennai,founders,3,90
Cognitive Analytics Chennai 826,Chennai,founded_year,2,70
Ampere EV Chennai 829,Chennai,website,2,73
Skill Lab Chennai 831,Chennai,founders,3,90
Nano Technologies Chennai 841,Chennai,website; founded_year; founders,2,68
Pure Brands Chennai 851,Chennai,founders,3,90
Cred Wealth Chennai 853,Chennai,website,2,73
Clean Power Chennai 856,Chennai,founded_year,2,70
Aero Cosmos Chennai 861,Chennai,founders,3,90
Cognitive Intelligence Chennai 865,Chennai,website,2,73
SynBio Therapeutics Chennai 871,Chennai,founded_year; founders,3,88
Urban Essentials Chennai 877,Chennai,website,2,73
Charge Energy Chennai 881,Chennai,founders,3,90
Care Clinics Chennai 886,Chennai,founded_year,2,70
Auto Automation Chennai 889,Chennai,website,2,73
Turing Analytics Chennai 891,Chennai,founders,3,90
Kisan Farm Chennai 901,Chennai,website; founded_year; founders,2,68
Stack Base Chennai 911,Chennai,founders,3,90
Horizon Cosmos Chennai 913,Chennai,website,2,73
Pure Snacks Chennai 916,Chennai,founded_year,2,70
Sustain Sustainability Chennai 921,Chennai,founders,3,90
Care Therapeutics Chennai 925,Chennai,website,2,73
Cred Fintech Chennai 931,Chennai,founded_year; founders,3,88
Stack Flow Chennai 937,Chennai,website,2,73
Indu Automation Chennai 941,Chennai,founders,3,90
Power EV Chennai 946,Chennai,founded_year,2,70
Microbe Labs Chennai 949,Chennai,website,2,73
Cardio Biomed Chennai 951,Chennai,founders,3,90
Skill Tutor Chennai 961,Chennai,website; founded_year; founders,2,68
Photon Dynamics Chennai 971,Chennai,founders,3,90
Pure Power Chennai 973,Chennai,website,2,73
Stack Flow Chennai 976,Chennai,founded_year,2,70
Pure Organics Chennai 981,Chennai,founders,3,90
EcoRide Charging Chennai 985,Chennai,website,2,73
Aero Cosmos Chennai 991,Chennai,founded_year; founders,3,88
Nano Aerospace Chennai 997,Chennai,website,2,73
Cell Biosciences Chennai 1001,Chennai,founders,3,90
Indu Automation Chennai 1006,Chennai,founded_year,2,70
Cred Wallet Chennai 1009,Chennai,website,2,73
Watt Vehicles Chennai 1011,Chennai,founders,3,90
Cognitive Analytics Chennai 1021,Chennai,website; founded_year; founders,2,68
Crop Farm Chennai 1031,Chennai,founders,3,90
Daily Snacks Chennai 1033,Chennai,website,2,73
Nano Photonics Chennai 1036,Chennai,founded_year,2,70
Stack Desk Chennai 1041,Chennai,founders,3,90
Forge Automation Chennai 1045,Chennai,website,2,73
Renew CleanTech Chennai 1051,Chennai,founded_year; founders,3,88
Kisan Fresh Chennai 1057,Chennai,website,2,73
Kuber Fintech Chennai 1061,Chennai,founders,3,90
Microbe Genomics Chennai 1066,Chennai,founded_year,2,70
Cosmo Cosmos Chennai 1069,Chennai,website,2,73
Indu Automation Chennai 1071,Chennai,founders,3,90
Care Health Chennai 1081,Chennai,website; founded_year; founders,2,68
Skill Ed Chennai 1091,Chennai,founders,3,90
Stack Flow Chennai 1093,Chennai,website,2,73
Kisan Farm Chennai 1096,Chennai,founded_year,2,70
Astra Systems Chennai 1101,Chennai,founders,3,90
SynBio Enzymes Chennai 1105,Chennai,website,2,73
Pure Essentials Chennai 1111,Chennai,founded_year; founders,3,88
Guru Academy Chennai 1117,Chennai,website,2,73
Aero Cosmos Chennai 1121,Chennai,founders,3,90
Cred Fintech Chennai 1126,Chennai,founded_year,2,70
Bio Recycle Chennai 1129,Chennai,website,2,73
Helix Labs Chennai 1131,Chennai,founders,3,90
Kinetic Power Chennai 1141,Chennai,website; founded_year; founders,2,68
Synapse Analytics Chennai 1151,Chennai,founders,3,90
Nano Photonics Chennai 1153,Chennai,website,2,73
Skill Tech Chennai 1156,Chennai,founded_year,2,70
BioAgri Farm Chennai 1161,Chennai,founders,3,90
Cred Money Chennai 1165,Chennai,website,2,73
Stack Flow Chennai 1171,Chennai,founded_year; founders,3,88
Cognitive Insights Chennai 1177,Chennai,website,2,73
Solar Energy Chennai 1181,Chennai,founders,3,90
Aero Cosmos Chennai 1186,Chennai,founded_year,2,70
Heritage Living Chennai 1189,Chennai,website,2,73
Penny Fintech Chennai 1191,Chennai,founders,3,90
Indu Automation Chennai 1201,Chennai,website; founded_year; founders,2,68
Heal Life Chennai 1211,Chennai,founders,3,90
Kisan Spices Chennai 1213,Chennai,website,2,73
Cognitive Analytics Chennai 1216,Chennai,founded_year,2,70
Skill Class Chennai 1221,Chennai,founders,3,90
Zenith Cosmos Chennai 1225,Chennai,website,2,73
Nano Aerospace Chennai 1231,Chennai,founded_year; founders,3,88
Care Clinics Chennai 1237,Chennai,website,2,73
Pure Brews Chennai 1241,Chennai,founders,3,90
Terra Recycle Chennai 1246,Chennai,founded_year,2,70
Stack Flow Chennai 1249,Chennai,website,2,73
Aero Cosmos Chennai 1251,Chennai,founders,3,90
Bio Biotech Chennai 1261,Chennai,website; founded_year; founders,2,68
EcoRide Motors Chennai 1271,Chennai,founders,3,90
Dexter Tech Chennai 1273,Chennai,website,2,73
Care Therapeutics Chennai 1276,Chennai,founded_year,2,70
Turing Analytics Chennai 1281,Chennai,founders,3,90
Clean CleanTech Chennai 1285,Chennai,website,2,73
Kisan Farm Chennai 1291,Chennai,founded_year; founders,3,88
Watt EV Chennai 1297,Chennai,website,2,73
Stack Base Chennai 1301,Chennai,founders,3,90
Pure Living Chennai 1306,Chennai,founded_year,2,70
Nano Technologies Chennai 1309,Chennai,website,2,73
Green Solar Chennai 1311,Chennai,founders,3,90
Cred Fintech Chennai 1321,Chennai,website; founded_year; founders,2,68
Indu Automation Chennai 1331,Chennai,founders,3,90
Cognitive Sense Chennai 1333,Chennai,website,2,73
Spark Charging Chennai 1336,Chennai,founded_year,2,70
Cardio Diagnostics Chennai 1341,Chennai,founders,3,90
Royal Essentials Chennai 1345,Chennai,website,2,73
Bio Biosciences Coimbatore 1351,Coimbatore,website; founded_year; founders,2,68
Drive Motors Coimbatore 1361,Coimbatore,founders,3,90
Dexter Tech Coimbatore 1363,Coimbatore,website,2,73
Neuro Therapeutics Coimbatore 1366,Coimbatore,founded_year,2,70
Intellect Analytics Coimbatore 1371,Coimbatore,founders,3,90
Pure CleanTech Coimbatore 1375,Coimbatore,website,2,73
Uzhava Farm Coimbatore 1381,Coimbatore,founded_year; founders,3,88
EcoRide EV Coimbatore 1387,Coimbatore,website,2,73
Flow Sphere Coimbatore 1391,Coimbatore,founders,3,90
Pure Living Coimbatore 1396,Coimbatore,founded_year,2,75
Propel Technologies Coimbatore 1399,Coimbatore,website,2,73
Clean Solar Coimbatore 1401,Coimbatore,founders,3,90
Fin Fintech Coimbatore 1411,Coimbatore,website; founded_year; founders,2,68
Indu Tech Coimbatore 1421,Coimbatore,founders,3,90
Algo Sense Coimbatore 1423,Coimbatore,website,2,73
Charge Charging Coimbatore 1426,Coimbatore,founded_year,2,70
Pulse Diagnostics Coimbatore 1431,Coimbatore,founders,3,90
Royal Essentials Coimbatore 1435,Coimbatore,website,2,73
Skill Academy Coimbatore 1441,Coimbatore,founded_year; founders,3,88
Apex Tech Coimbatore 1447,Coimbatore,website,2,73
Micro Robotics Coimbatore 1451,Coimbatore,founders,3,90
Flow Works Coimbatore 1456,Coimbatore,founded_year,2,70
Uzhava Innovations Coimbatore 1459,Coimbatore,website,2,73
Pure Goods Coimbatore 1461,Coimbatore,founders,3,90
Aero Telemetry Coimbatore 1471,Coimbatore,website; founded_year; founders,2,68
Ferment Labs Coimbatore 1481,Coimbatore,founders,3,90
Neuro Therapeutics Coimbatore 1483,Coimbatore,website,2,73
Indu Tech Coimbatore 1486,Coimbatore,founded_year,2,75
Power Drives Coimbatore 1491,Coimbatore,founders,3,90
Flow Works Coimbatore 1495,Coimbatore,website,2,73
Algo Analytics Coimbatore 1501,Coimbatore,founded_year; founders,3,88
Microbe Genomics Coimbatore 1507,Coimbatore,website,2,73
Paddy Farm Coimbatore 1511,Coimbatore,founders,3,90
Propel Technologies Coimbatore 1516,Coimbatore,founded_year,2,70
Vidya Tutor Coimbatore 1519,Coimbatore,website,2,73
Flow Force Coimbatore 1521,Coimbatore,founders,3,90
Bio Power Coimbatore 1531,Coimbatore,website; founded_year; founders,2,68
Settlement Fintech Coimbatore 1541,Coimbatore,founders,3,90
Kinetic Charging Coimbatore 1543,Coimbatore,website,2,73
SynBio Enzymes Coimbatore 1546,Coimbatore,founded_year,2,70
Indu Tech Coimbatore 1551,Coimbatore,founders,3,90
Propel Aerospace Coimbatore 1555,Coimbatore,website,2,73
Neuro Clinics Coimbatore 1561,Coimbatore,founded_year; founders,3,88
Fin Banking Coimbatore 1567,Coimbatore,website,2,73
Skill Verse Coimbatore 1571,Coimbatore,founders,3,90
Uzhava Farm Coimbatore 1576,Coimbatore,founded_year,2,75
Algo Cognition Coimbatore 1579,Coimbatore,website,2,73
Robo Propulsion Coimbatore 1581,Coimbatore,founders,3,90
Pure Snacks Coimbatore 1591,Coimbatore,website; founded_year; founders,2,68
Aero Telemetry Coimbatore 1601,Coimbatore,founders,3,90
Prime Tech Coimbatore 1603,Coimbatore,website,2,73
Fin Fintech Coimbatore 1606,Coimbatore,founded_year,2,70
Protein Biotech Coimbatore 1611,Coimbatore,founders,3,90
Uzhava Crops Coimbatore 1615,Coimbatore,website,2,73
Volt EV Coimbatore 1621,Coimbatore,founded_year; founders,3,88
Propel Telemetry Coimbatore 1627,Coimbatore,website,2,73
NexusAI Analytics Coimbatore 1631,Coimbatore,founders,3,90
Skill Tutor Coimbatore 1636,Coimbatore,founded_year,2,70
Neuro Health Coimbatore 1639,Coimbatore,website,2,73
Soil Farm Coimbatore 1641,Coimbatore,founders,3,90
Flow Works Coimbatore 1651,Coimbatore,website; founded_year; founders,2,68
Pure Renewables Coimbatore 1661,Coimbatore,founders,3,90
SynBio Labs Coimbatore 1663,Coimbatore,website,2,73
Aero Telemetry Coimbatore 1666,Coimbatore,founded_year,2,75
Lend Fintech Coimbatore 1671,Coimbatore,founders,3,90
Ace Academy Coimbatore 1675,Coimbatore,website,2,73
Indu Tech Coimbatore 1681,Coimbatore,founded_year; founders,3,88
Clean Recycle Coimbatore 1687,Coimbatore,website,2,73
Clinix MedTech Coimbatore 1691,Coimbatore,founders,3,90
Algo Analytics Coimbatore 1696,Coimbatore,founded_year,2,70
Watt Power Coimbatore 1699,Coimbatore,website,2,73
Skill Skills Coimbatore 1701,Coimbatore,founders,3,90
Propel Photonics Coimbatore 1711,Coimbatore,website; founded_year; founders,2,68
Pure Foods Coimbatore 1721,Coimbatore,founders,3,90
Fin Wealth Coimbatore 1723,Coimbatore,website,2,73
Solar CleanTech Coimbatore 1726,Coimbatore,founded_year,2,70
Aero Telemetry Coimbatore 1731,Coimbatore,founders,3,90
Algo Intelligence Coimbatore 1735,Coimbatore,website,2,73
Microbe Life Sciences Coimbatore 1741,Coimbatore,founded_year; founders,3,88
Urban Living Coimbatore 1747,Coimbatore,website,2,73
Electro Battery Coimbatore 1751,Coimbatore,founders,3,90
Neuro Health Coimbatore 1756,Coimbatore,founded_year,2,75
Auto Tech Coimbatore 1759,Coimbatore,website,2,73
Intellect Analytics Coimbatore 1761,Coimbatore,founders,3,90
Uzhava Farm Coimbatore 1771,Coimbatore,website; founded_year; founders,2,68
Flow Sphere Coimbatore 1781,Coimbatore,founders,3,90
Horizon Telemetry Coimbatore 1783,Coimbatore,website,2,73
Pure Essentials Coimbatore 1786,Coimbatore,founded_year,2,70
Terra Enviro Coimbatore 1791,Coimbatore,founders,3,90
Neuro Clinics Coimbatore 1795,Coimbatore,website,2,73
Fin Fintech Coimbatore 1801,Coimbatore,founded_year; founders,3,88
Flow Works Coimbatore 1807,Coimbatore,website,2,73
Indu Tech Coimbatore 1811,Coimbatore,founders,3,90
EcoRide Power Coimbatore 1816,Coimbatore,founded_year,2,70
Bio Enzymes Coimbatore 1819,Coimbatore,website,2,73
Pulse Sensors Coimbatore 1821,Coimbatore,founders,3,90
Skill Tech Coimbatore 1831,Coimbatore,website; founded_year; founders,2,68
Micro Sensors Coimbatore 1841,Coimbatore,founders,3,90
Aqua CleanTech Coimbatore 1843,Coimbatore,website,2,73
Flow Works Coimbatore 1846,Coimbatore,founded_year,2,75
Pure Naturals Coimbatore 1851,Coimbatore,founders,3,90
Charge EV Coimbatore 1855,Coimbatore,website,2,73
Aero Telemetry Coimbatore 1861,Coimbatore,founded_year; founders,3,88
Propel Technologies Coimbatore 1867,Coimbatore,website,2,73
Gene Genomics Coimbatore 1871,Coimbatore,founders,3,90
Indu Tech Coimbatore 1876,Coimbatore,founded_year,2,70
Fin Wallet Coimbatore 1879,Coimbatore,website,2,73
Spark Mobility Coimbatore 1881,Coimbatore,founders,3,90
Algo Analytics Coimbatore 1891,Coimbatore,website; founded_year; founders,2,68
Paddy Farm Coimbatore 1901,Coimbatore,founders,3,90
Daily Essentials Coimbatore 1903,Coimbatore,website,2,73
Propel Aerospace Coimbatore 1906,Coimbatore,founded_year,2,70
Flow Force Coimbatore 1911,Coimbatore,founders,3,90
Forge Tech Coimbatore 1915,Coimbatore,website,2,73
Eco Recycle Coimbatore 1921,Coimbatore,founded_year; founders,3,88
Uzhava Fresh Coimbatore 1927,Coimbatore,website,2,73
Settlement Fintech Coimbatore 1931,Coimbatore,founders,3,90
Bio Labs Coimbatore 1936,Coimbatore,founded_year,2,75
Cosmo Telemetry Coimbatore 1939,Coimbatore,website,2,73
Indu Tech Coimbatore 1941,Coimbatore,founders,3,90
Neuro Therapeutics Coimbatore 1951,Coimbatore,website; founded_year; founders,2,68
Skill Learning Coimbatore 1961,Coimbatore,founders,3,90
Flow Works Coimbatore 1963,Coimbatore,website,2,73
Uzhava Farm Coimbatore 1966,Coimbatore,founded_year,2,70
Solar Energy Chengalpattu 1971,Chengalpattu,website; founded_year; founders,2,68
Fin Fintech Chengalpattu 1981,Chengalpattu,founders,3,90
Spark Battery Chengalpattu 1983,Chengalpattu,website,2,73
Protein Life Sciences Chengalpattu 1986,Chengalpattu,founded_year,2,70
Indu Castings Chengalpattu 1991,Chengalpattu,founders,3,90
Robo Dynamics Chengalpattu 1995,Chengalpattu,website,2,73
Pulse Life Chengalpattu 2001,Chengalpattu,founded_year; founders,3,88
Lend Banking Chengalpattu 2007,Chengalpattu,website,2,73
Skill Class Chengalpattu 2011,Chengalpattu,founders,3,90
Soil Farm Chengalpattu 2016,Chengalpattu,founded_year,2,70
Intellect Cognition Chengalpattu 2019,Chengalpattu,website,2,73
Micro Aerospace Chengalpattu 2021,Chengalpattu,founders,3,90
Pure Brews Chengalpattu 2031,Chengalpattu,website; founded_year; founders,2,68
Aero Aerospace Chengalpattu 2041,Chengalpattu,founders,3,90
Prime Castings Chengalpattu 2043,Chengalpattu,website,2,73
Lend Fintech Chengalpattu 2046,Chengalpattu,founded_year,2,70
Cell Biosciences Chengalpattu 2051,Chengalpattu,founders,3,90
Soil Crops Chengalpattu 2055,Chengalpattu,website,2,73
EcoRide Motors Chengalpattu 2061,Chengalpattu,founded_year; founders,3,88
Propel Aerospace Chengalpattu 2067,Chengalpattu,website,2,73
Algo Analytics Chengalpattu 2071,Chengalpattu,founders,3,90
Skill Learning Chengalpattu 2076,Chengalpattu,founded_year,2,70
Pulse Care Chengalpattu 2079,Chengalpattu,website,2,73
Paddy Farm Chengalpattu 2081,Chengalpattu,founders,3,90
Logi Sphere Chengalpattu 2091,Chengalpattu,website; founded_year; founders,2,68
Green Solar Chengalpattu 2101,Chengalpattu,founders,3,90
Protein Therapeutics Chengalpattu 2103,Chengalpattu,website,2,73
Aero Aerospace Chengalpattu 2106,Chengalpattu,founded_year,2,70
Settlement Fintech Chengalpattu 2111,Chengalpattu,founders,3,90
Ace Ed Chengalpattu 2115,Chengalpattu,website,2,73
Indu Castings Chengalpattu 2121,Chengalpattu,founded_year; founders,3,88
Renew Renewables Chengalpattu 2127,Chengalpattu,website,2,73
Neuro Diagnostics Chengalpattu 2131,Chengalpattu,founders,3,90
Intellect Analytics Chengalpattu 2136,Chengalpattu,founded_year,2,70
Electro Energy Chengalpattu 2139,Chengalpattu,website,2,73
Skill Academy Chengalpattu 2141,Chengalpattu,founders,3,90
Robo Robotics Chengalpattu 2151,Chengalpattu,website; founded_year; founders,2,68
Pure Goods Chengalpattu 2161,Chengalpattu,founders,3,90
Lend Wealth Chengalpattu 2163,Chengalpattu,website,2,73
Eco Biofuels Chengalpattu 2166,Chengalpattu,founded_year,2,70
Aero Aerospace Chengalpattu 2171,Chengalpattu,founders,3,90
Intellect Intelligence Chengalpattu 2175,Chengalpattu,website,2,73
Helix Labs Chengalpattu 2181,Chengalpattu,founded_year; founders,3,88
Urban Foods Chengalpattu 2187,Chengalpattu,website,2,73
Ampere Drives Chengalpattu 2191,Chengalpattu,founders,3,90
Pulse Care Chengalpattu 2196,Chengalpattu,founded_year,2,70
Auto Castings Chengalpattu 2199,Chengalpattu,website,2,73
NexusAI Analytics Chengalpattu 2201,Chengalpattu,founders,3,90
Soil Farm Chengalpattu 2211,Chengalpattu,website; founded_year; founders,2,68
Logi Force Chengalpattu 2221,Chengalpattu,founders,3,90
Horizon Aerospace Chengalpattu 2223,Chengalpattu,website,2,73
Pure Brands Chengalpattu 2226,Chengalpattu,founded_year,2,70
Aqua Power Chengalpattu 2231,Chengalpattu,founders,3,90
Pulse Life Chengalpattu 2235,Chengalpattu,website,2,73
Lend Fintech Chengalpattu 2241,Chengalpattu,founded_year; founders,3,88
Logi Sphere Chengalpattu 2247,Chengalpattu,website,2,73
Indu Castings Chengalpattu 2251,Chengalpattu,founders,3,90
Torque Energy Chengalpattu 2256,Chengalpattu,founded_year,2,70
Enzyme Life Sciences Chengalpattu 2259,Chengalpattu,website,2,73
Clinix Clinics Chengalpattu 2261,Chengalpattu,founders,3,90
Skill Verse Chengalpattu 2271,Chengalpattu,website; founded_year; founders,2,68
Propel Propulsion Chengalpattu 2281,Chengalpattu,founders,3,90
Sustain Biofuels Chengalpattu 2283,Chengalpattu,website,2,73
Logi Sphere Chengalpattu 2286,Chengalpattu,founded_year,2,70
Pure Snacks Chengalpattu 2291,Chengalpattu,founders,3,90
Volt Motors Chengalpattu 2295,Chengalpattu,website,2,73
Aero Aerospace Chengalpattu 2301,Chengalpattu,founded_year; founders,3,88
Robo Sensors Chengalpattu 2307,Chengalpattu,website,2,73
Bio Biotech Chengalpattu 2311,Chengalpattu,founders,3,90
Indu Castings Chengalpattu 2316,Chengalpattu,founded_year,2,70
Lend Wallet Chengalpattu 2319,Chengalpattu,website,2,73
Drive EV Chengalpattu 2321,Chengalpattu,founders,3,90
Robo Robotics Kanchipuram 2331,Kanchipuram,website; founded_year; founders,2,68
Pure Goods Kanchipuram 2341,Kanchipuram,founders,3,90
Lend Wealth Kanchipuram 2343,Kanchipuram,website,2,73
Carbon Biofuels Kanchipuram 2346,Kanchipuram,founded_year,2,70
Aero Aerospace Kanchipuram 2351,Kanchipuram,founders,3,90
