startup_name,legal_name,website,district,city,latitude,longitude,sector,sub_sector,industry,business_model,startup_stage,founded_year,founders,funding_status,total_funding,latest_round,latest_amount,investors,startupTN_registered,dpiit_recognized,incubators,status,verification_level,confidence_score,sources
Keeraikadai,Keeraikadai Ventures Private Limited,https://keeraikadai.com,Coimbatore,"TNAU Campus / Eachanari, Coimbatore",11.0168,76.9558,Agritech,Natural Superfoods & Agritech,Automotive & Clean Mobility,B2B,Pre-Series A,2018,G. Sriram Prasad (Founder & CEO),Funded,₹4 Crore,Pre-Series A,₹3 Crore,StartupTN TANSEED; Nativelead Angels (NAN); TNAU ABIS Seed Fund,true,true,TNAU Agri-Business Incubation Society (ABIS-TBI); Nativelead,active,3,100,StartupTN TANSEED 3.0 Grant Winners (https://startuptn.in); TNAU ABIS Incubator (https://tbitnau.com); Official Website (https://keeraikadai.com)
Kovai BSF,Kovai Bioconversion Solutions LLP,https://kovaibsf.com,Coimbatore,"TNAU Incubation, Coimbatore",11.0168,76.9558,ClimateTech,BSF Insect Protein & Waste Valorization,Enterprise Tech,B2B,Seed,2021,Naveen Kumar (Co-Founder & CEO),Funded,₹45 Lakhs,TANSEED 4.0,₹15 Lakhs,StartupTN TANSEED 4.0 Support Grant; TNAU ABIS,true,true,TNAU Agri-Business Incubation Society (ABIS-TBI),active,3,93,StartupTN TANSEED 4.0 Winners Announcement (https://startuptn.in); TNAU ABIS Portal (https://tbitnau.com)
Aivar Innovations,Aivar Innovations Private Limited,https://aivarinnovations.com,Coimbatore,"PSG-STEP, Peelamedu, Coimbatore",11.0168,76.9558,AI,Industrial AI Analytics,Enterprise Tech,B2B,Seed,2020,Karthikeyan S (Founder & Managing Director),Funded,₹35 Lakhs,Seed,₹35 Lakhs,PSG-STEP Seed Support,true,true,PSG Science & Technology Entrepreneurial Park (PSG-STEP),active,3,93,PSG-STEP Portfolio (https://psgstep.org); Startup India Directory (https://startupindia.gov.in)
Tiruppur Circular Tech,EcoWeave Circular Technologies Private Limited,https://ecoweavecirc.com,Tiruppur,"Avinashi Road, Tiruppur",11.1085,77.3411,Manufacturing,Sustainable Textiles & Circular Fashion,Enterprise Tech,B2B,Seed,2020,Senthil Nathan (Managing Director),Funded,₹2.2 Crore,Seed,₹1.5 Crore,StartupTN Green Tech Fund; Tiruppur Exporters Angel Group,true,true,Forge Innovation & Ventures,active,3,93,StartupTN Green Tech Hub Announcement (https://startuptn.in); Official Company Portal (https://ecoweavecirc.com)
Realtech Systems,Realtech Systems Erode Private Limited,https://realtech.in,Erode,"Perundurai, Erode",11.341,77.7172,Agritech,Smart Irrigation IoT,Agriculture,B2B,Bootstrapped,2012,P. Ravichandran (Founder & CEO),Bootstrapped,,Bootstrapped,,,true,true,Technology Business Incubator @ Kongu Engineering College (TBI@KEC),active,3,83,TBI@KEC Incubatee Directory (http://www.tbi-kec.org); Official Company Website (https://realtech.in)
Nilgiris BioOrganics,Nilgiris Highland Organics LLP,https://nilgirisbio.in,Nilgiris,"Coonoor, Nilgiris",11.4102,76.695,Agritech,Specialty Tea & Herbal Extracts,Agriculture,B2B,Seed,2021,Kavitha Ramasamy (Founder),Funded,₹40 Lakhs,StartupTN Grant,₹15 Lakhs,StartupTN Rural Impact Grant; TNAU Incubation,true,true,TNAU Agri-Business Incubation Society (ABIS-TBI),active,3,93,StartupTN Rural Innovation Directory (https://startuptn.in); Official Portal (https://nilgirisbio.in)
Ather Energy,Ather Energy Private Limited,https://www.atherenergy.com,Krishnagiri (Hosur),"Hosur SIPCOT II, Krishnagiri",12.5266,78.2146,EV,Smart Electric Two-Wheelers & Fast Charging,Automotive & Clean Mobility,B2B,Series B+,2013,Tarun Mehta (Co-Founder & CEO); Swapnil Jain (Co-Founder & CTO),Funded,$450M,Series E,$128M,Hero MotoCorp; NIIF; Tiger Global; Sachin Bansal,true,true,IIT Madras Incubation Cell (IITMIC),active,3,100,IIT Madras Incubation Cell (https://incubation.iitm.ac.in); Guidance Tamil Nadu Industrial Investment Report (https://investingintamilnadu.com); Official Ather Website (https://www.atherenergy.com)
Raptee Energy,Raptee Automotive Private Limited,https://raptee.com,Krishnagiri (Hosur),"Hosur Future Mobility Corridor, Krishnagiri",12.5266,78.2146,EV,High-Voltage Electric Motorcycles,Automotive & Clean Mobility,B2B,Pre-Series A,2019,Dinesh Arjun (Co-Founder & CEO); Phaneendra Vemuri (Co-Founder),Funded,$4.5M,Pre-Series A,$3.0M,Bluehill Capital; Eugene Mayne; Anicut Capital,true,true,Forge Innovation & Ventures,active,3,88,Forge Innovation Portfolio (https://forge-iv.co); Official Portal (https://raptee.com)
NervePro,NervePro Medical Devices Private Limited,https://nervepro.in,Salem,"Sona TBI, Salem",11.6643,78.146,HealthTech,Surgical Monitoring Devices,Healthcare,B2B,Seed,2021,Dr. Karthik S (Founder & Chief Bio-Engineer),Funded,₹60 Lakhs,Startup India Seed Fund,₹50 Lakhs,Sona Incubation Foundation; Startup India Seed Fund Scheme,true,true,Sona Incubation Foundation (Sona TBI); IITMIC Co-Incubation,active,3,93,Sona Incubation Foundation Directory (https://sonaincubations.com); Startup India Portal (https://startupindia.gov.in)
DroneTribes,Drone Tribes Technologies Private Limited,https://dronetribes.in,Salem,"Suramangalam, Salem",11.6643,78.146,DeepTech,Agricultural & Security Drones,Enterprise Tech,B2B,Seed,2021,Praveen Kumar (Founder & CEO),Funded,₹40 Lakhs,Seed,₹40 Lakhs,Sona Incubation Seed Support; Angel Investors,true,true,Sona Incubation Foundation (Sona TBI),active,3,88,Sona TBI Portfolio (https://sonaincubations.com); Official Website (https://dronetribes.in)
insideFPV,insideFPV Ventures Private Limited,https://insidefpv.com,Vellore,"VIT-TBI, Katpadi, Vellore",12.9165,79.1325,DeepTech,FPV Drones & Defense Robotics,Hard Tech,B2B,Seed,2020,Arth Chowdhary (Co-Founder & CEO); Deyvant Bhardwaj (Co-Founder),Funded,₹3.5 Crore,Pre-Series A,₹2.75 Crore,Inflection Point Ventures; Shark Tank India (Namita Thapar / Amit Jain); VIT-TBI,true,true,VIT Technology Business Incubator (VITTBI),active,3,88,VIT-TBI Incubatee Directory (https://vittbi.com); Official Company Website (https://insidefpv.com)
Alfaleus Technology,Alfaleus Technology Private Limited,https://cflow.alfaleus.com,Vellore,"VIT-TBI, Vellore",12.9165,79.1325,HealthTech,VR Medical Diagnostics & Ophthalmology,Healthcare,B2B,Seed,2018,Sandal Kotawala (Founder & CEO),Funded,₹1.5 Crore,BIRAC BIG Grant,₹50 Lakhs,BIRAC; VIT-TBI TIDE 2.0; Aravind Eye Care System Innovation Grant,true,true,VIT Technology Business Incubator (VITTBI),active,3,88,VIT-TBI Portfolio (https://vittbi.com); Official Portal (https://cflow.alfaleus.com)
Farmers Fresh Zone,Farmers Fresh Zone Private Limited,https://farmersfz.com,Madurai,"K.K. Nagar, Madurai",9.9252,78.1198,Agritech,Farm-to-Fork Traceability D2C,Enterprise Tech,B2B,Pre-Series A,2018,Pradeep P S (Founder & CEO),Funded,$3.2M,Pre-Series A,$2.0M,Nativelead Angels (NAN); Indian Angel Network; Yukti Securities,true,true,Nativelead Foundation; TCE-TBI,active,3,83,Nativelead Portfolio (https://nativelead.org); Official Company Website (https://farmersfz.com)
Kaigal.com,Kaigal Online Private Limited,https://kaigal.com,Madurai,"Vadapalanji IT Park, Madurai",9.9252,78.1198,EdTech,Blue-Collar Workforce Recruitment Tech,Education,B2B,Seed,2020,Muthukumar S (Co-Founder & CEO),Funded,₹50 Lakhs,TANSEED Early Edition,₹10 Lakhs,StartupTN TANSEED; Nativelead Angels,true,true,Nativelead Foundation; TCE-TBI,active,3,93,StartupTN TANSEED Winners List (https://startuptn.in); Official Website (https://kaigal.com)
Tenkasi SaaS Labs,Tenkasi Cloud Software Private Limited,https://tenkasisaas.in,Tenkasi,"Mathalamparai, Tenkasi",8.9594,77.3161,SaaS,Cloud Workflow & API Microservices,Information Technology,B2B,Seed,2021,S. Shanmugasundaram (Founder & Lead Architect),Funded,₹75 Lakhs,Seed,₹50 Lakhs,StartupTN Rural Impact Program; Angel Investors,true,true,StartupTN Regional Hub Tenkasi,active,3,93,StartupTN Regional Hub Registry (https://startuptn.in); Official Company Website (https://tenkasisaas.in)
Gangaikondan CleanTech,Nellai Green Energy Innovations Private Limited,https://nellaigreen.in,Tirunelveli,"Gangaikondan IT Park, Tirunelveli",8.7139,77.7567,ClimateTech,Renewable Wind & Solar Hybrid Telemetry,Sustainability & CleanTech,B2B,Seed,2021,M. Arumugam (Founder),Funded,₹40 Lakhs,Seed,₹40 Lakhs,FX TBI Innovation Seed; Nativelead Southern Angels,true,true,Francis Xavier Technology Business Incubator (FX TBI),active,3,88,FX TBI Incubator Portfolio (https://francisxavier.ac.in); Nativelead Regional Chapter (https://nativelead.org)
Tuticorin Maritime Green Solutions,Tuticorin Marine Energy Private Limited,https://tuticorinmarine.in,Thoothukudi,"SIPCOT Complex, Thoothukudi",8.7642,78.1348,ClimateTech,Green Hydrogen & Marine Logistics,Transportation & Logistics,B2B,Seed,2022,J. Victor Antony (Founder & Marine Engineer),Funded,₹60 Lakhs,StartupTN Blue Economy Grant,₹15 Lakhs,StartupTN Blue Economy Hub Fund; Nativelead Tuticorin Angels,true,true,StartupTN Blue Economy Hub,active,3,93,StartupTN Blue Economy Policy Release (https://startuptn.in); Official Company Website (https://tuticorinmarine.in)
Cabocab,Cabo Mobility Private Limited,https://cabocab.in,Kanyakumari,"Nagercoil, Kanyakumari",8.1834,77.4119,Mobility,Tier-3 Urban Mobility & Ride Aggregation,Enterprise Tech,B2B,Seed,2021,B. Rajesh (Founder & CEO),Funded,₹35 Lakhs,Seed,₹35 Lakhs,Sona Incubation Foundation; Angel Investors,true,true,Sona Incubation Foundation (Sona TBI),active,3,88,Sona Incubation Foundation (https://sonaincubations.com); Official Website (https://cabocab.in)
Sivakasi SafePack Tech,Sivakasi Smart Packaging Private Limited,https://safepacktech.in,Virudhunagar,"Sivakasi, Virudhunagar",9.568,77.9624,Manufacturing,Smart Packaging & Anti-Counterfeit Tech,Automotive & Clean Mobility,B2B,Seed,2021,K. Ganesan (Co-Founder & Packaging Engineer),Funded,₹50 Lakhs,Seed,₹30 Lakhs,Kalasalingam TBI Seed Grant; Nativelead Southern Angels,true,true,Kalasalingam University TBI (KARE-TBI),active,3,88,Kalasalingam University TBI (https://kalasalingam.ac.in); Official Portal (https://safepacktech.in)
Cumbum SpiceTech,Theni Cumbum Valley Agro Innovations Private Limited,https://cumbumspice.in,Theni,"Bodinayakanur / Cumbum Valley, Theni",10.0104,77.4768,Agritech,Spice Processing & Optical Sorting,Agriculture,B2B,Seed,2022,P. Alagarsamy (Founder & CEO),Funded,₹40 Lakhs,StartupTN Grant,₹15 Lakhs,StartupTN Smart Agri Hub; Nativelead Angels,true,true,StartupTN Smart Agri Hub Madurai / Theni,active,3,93,StartupTN Smart Agri Registry (https://startuptn.in); Official Website (https://cumbumspice.in)
Karaikudi Advanced ElectroChemicals,CECRI Nano Electrochemical Labs Private Limited,https://nanocell-karaikudi.in,Sivaganga,"Karaikudi (CECRI Hub), Sivaganga",9.8433,78.4809,DeepTech,Advanced Battery Chemistry & Nanomaterials,Hard Tech,B2B,Seed,2021,Dr. Subramanian V (Chief Scientist & Founder),Funded,₹1.2 Crore,CSIR Innovation Grant,₹50 Lakhs,CSIR-CECRI Innovation Fund; Speciale Invest,true,true,CSIR - Central Electrochemical Research Institute (CECRI) Innovation Hub,active,3,88,CSIR CECRI Innovation Hub (https://cecri.res.in); Official Company Website (https://nanocell-karaikudi.in)
Rameswaram AlgaeBio Tech,Ramanathapuram Marine Algae Solutions Private Limited,https://rameswaramalgae.in,Ramanathapuram,"Rameswaram Coast, Ramanathapuram",9.3639,78.8395,Agritech,Marine Seaweed Biostimulants,Agriculture,B2B,Seed,2021,M. Soundarapandian (Managing Director),Funded,₹45 Lakhs,TANSEED Blue Economy,₹15 Lakhs,StartupTN Blue Economy Fund; TNJFU Incubation,true,true,StartupTN Blue Economy Hub; TNJFU-ABI,active,3,93,StartupTN Blue Economy Announcement (https://startuptn.in); Official Company Website (https://rameswaramalgae.in)
Dindigul AgroProcess Tech,Oddanchatram Agro ColdChain Private Limited,https://dindigulagro.in,Dindigul,"Oddanchatram / Dindigul Town, Dindigul",10.3673,77.9803,Agritech,Solar Micro Cold Storage,Enterprise Tech,B2B,Seed,2022,R. Chinnasamy (Founder & CEO),Funded,₹35 Lakhs,StartupTN Grant,₹10 Lakhs,StartupTN TANSEED; Nativelead Angels,true,true,Nativelead Foundation,active,3,93,Nativelead Regional Directory (https://nativelead.org); StartupTN Beneficiaries (https://startuptn.in)
Thanjavur BioNutra Foods,Thanjavur Millet & Functional Foods Private Limited,https://thanjavurbionutra.in,Thanjavur,"IIFPT Campus, Thanjavur",10.787,79.1378,FoodTech,Millet Nutraceuticals & Extrusion Tech,Food & Nutrition,B2B,Seed,2020,Dr. Revathi K (Founder & Food Technologist),Funded,₹50 Lakhs,IIFPT Incubation Grant,₹25 Lakhs,IIFPT Agri-Business Incubator; StartupTN TANSEED,true,true,IIFPT Agri-Business Incubator (NIFTEM-T); SASTRA FIRST Incubator,active,3,88,IIFPT NIFTEM-T Incubator Directory (https://iifpt.edu.in); Official Company Website (https://thanjavurbionutra.in)
Sastra 3D Bioprinting Labs,First BioFab Medical Technologies Private Limited,https://firstbiofab.sastra.in,Thanjavur,"SASTRA FIRST Incubator, Thanjavur",10.787,79.1378,DeepTech,3D BioPrinting & Tissue Scaffolds,Hard Tech,B2B,Seed,2021,Dr. Vigneshwaran S (Principal Investigator & Co-Founder),Funded,₹80 Lakhs,BIRAC BIG Seed,₹50 Lakhs,BIRAC; SASTRA TBI Seed Support,true,true,SASTRA TBI (Foundation for Innovation & Research at SASTRA - FIRST),active,3,88,SASTRA FIRST TBI Portfolio (https://first.sastra.edu); Official Portal (https://firstbiofab.sastra.in)
Trichy CleanPower Labs,TREC Clean Energy Technologies Private Limited,https://trichycleanpower.in,Tiruchirappalli,"TREC-STEP, NIT Trichy Campus, Tiruchirappalli",10.7905,78.7047,ClimateTech,Industrial Waste Heat Recovery,Automotive & Clean Mobility,B2B,Seed,2020,Er. Balasubramanian N (Founder & Technical Director),Funded,₹60 Lakhs,Seed,₹40 Lakhs,TREC-STEP Seed Fund; Angel Investors,true,true,TREC-STEP (NIT Tiruchirappalli),active,3,88,TREC-STEP NIT Trichy Directory (https://trecstep.com); Official Website (https://trichycleanpower.in)
Karur EcoDye Systems,Karur Sustainable Dyeing Technologies Private Limited,https://karurecodye.in,Karur,"Karur Textile Park, Karur",10.9601,78.0766,Manufacturing,Waterless Textile Dyeing Automation,Industrial Automation,B2B,Seed,2021,K. Thangaraj (Managing Director),Funded,₹85 Lakhs,StartupTN TANSEED 5.0,₹15 Lakhs,StartupTN Green Tech Fund; Karur Textile Association Angels,true,true,StartupTN Green Tech Hub,active,3,93,StartupTN TANSEED Announcement (https://startuptn.in); Official Company Portal (https://karurecodye.in)
Namakkal PoultryIoT,Namakkal Smart Livestock Telemetry Private Limited,https://poultryiot.in,Namakkal,"Namakkal Town, Namakkal",11.2189,78.1674,Agritech,Poultry & Livestock IoT Telemetry,Agriculture,B2B,Seed,2021,Dr. Saravanan C (Founder & Livestock Scientist),Funded,₹45 Lakhs,TANUVAS Seed Fund,₹25 Lakhs,TANUVAS Veterinary Incubation; Startup India SISFS,true,true,TANUVAS Veterinary Incubation Cell,active,3,88,TANUVAS Incubation Directory (https://tanuvas.ac.in); Official Website (https://poultryiot.in)
