canonical_name,duplicate_name,match_type,similarity_score,sources_found
Urban Living Chennai 487,Urban Living Chennai 487 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Carbon Power Chennai 505,Carbon Power Chennai 505 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Horizon Cosmos Chennai 523,Horizon Cosmos Chennai 523 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cred Fintech Chennai 541,Cred Fintech Chennai 541 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Bio Enzymes Chennai 559,Bio Enzymes Chennai 559 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Apex Automation Chennai 577,Apex Automation Chennai 577 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Charge EV Chennai 595,Charge EV Chennai 595 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Care Health Chennai 613,Care Health Chennai 613 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cognitive Analytics Chennai 631,Cognitive Analytics Chennai 631 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Vidya Academy Chennai 649,Vidya Academy Chennai 649 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Kisan Fresh Chennai 667,Kisan Fresh Chennai 667 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Nano Photonics Chennai 685,Nano Photonics Chennai 685 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Stack Flow Chennai 703,Stack Flow Chennai 703 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Pure Living Chennai 721,Pure Living Chennai 721 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Green Power Chennai 739,Green Power Chennai 739 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Propel Cosmos Chennai 757,Propel Cosmos Chennai 757 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cred Money Chennai 775,Cred Money Chennai 775 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Bio Genomics Chennai 793,Bio Genomics Chennai 793 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Indu Automation Chennai 811,Indu Automation Chennai 811 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Ampere EV Chennai 829,Ampere EV Chennai 829 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Care Health Chennai 847,Care Health Chennai 847 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cognitive Intelligence Chennai 865,Cognitive Intelligence Chennai 865 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Dexter Academy Chennai 883,Dexter Academy Chennai 883 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Kisan Farm Chennai 901,Kisan Farm Chennai 901 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Nano Photonics Chennai 919,Nano Photonics Chennai 919 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Stack Flow Chennai 937,Stack Flow Chennai 937 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Royal Living Chennai 955,Royal Living Chennai 955 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Pure Power Chennai 973,Pure Power Chennai 973 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Aero Cosmos Chennai 991,Aero Cosmos Chennai 991 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cred Wallet Chennai 1009,Cred Wallet Chennai 1009 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Bio Life Sciences Chennai 1027,Bio Life Sciences Chennai 1027 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Forge Automation Chennai 1045,Forge Automation Chennai 1045 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Electro EV Chennai 1063,Electro EV Chennai 1063 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Care Health Chennai 1081,Care Health Chennai 1081 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cognitive Cognition Chennai 1099,Cognitive Cognition Chennai 1099 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Guru Academy Chennai 1117,Guru Academy Chennai 1117 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Kisan Crops Chennai 1135,Kisan Crops Chennai 1135 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Nano Photonics Chennai 1153,Nano Photonics Chennai 1153 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Stack Flow Chennai 1171,Stack Flow Chennai 1171 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Heritage Living Chennai 1189,Heritage Living Chennai 1189 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Sustain Power Chennai 1207,Sustain Power Chennai 1207 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Zenith Cosmos Chennai 1225,Zenith Cosmos Chennai 1225 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cred Wealth Chennai 1243,Cred Wealth Chennai 1243 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Bio Biotech Chennai 1261,Bio Biotech Chennai 1261 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Auto Automation Chennai 1279,Auto Automation Chennai 1279 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Watt EV Chennai 1297,Watt EV Chennai 1297 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Care Health Chennai 1315,Care Health Chennai 1315 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Cognitive Sense Chennai 1333,Cognitive Sense Chennai 1333 Private Limited,LEGAL_VS_BRAND,0.94,Startup India / DPIIT (Department for Promotion of Industry and Internal Trade); Secondary Business Portal Directory
Auto Tech Coimbatore 1369,Auto Tech Coimbatore 1369 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
EcoRide EV Coimbatore 1387,EcoRide EV Coimbatore 1387 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Neuro Health Coimbatore 1405,Neuro Health Coimbatore 1405 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Algo Sense Coimbatore 1423,Algo Sense Coimbatore 1423 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Skill Academy Coimbatore 1441,Skill Academy Coimbatore 1441 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Uzhava Innovations Coimbatore 1459,Uzhava Innovations Coimbatore 1459 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Propel Photonics Coimbatore 1477,Propel Photonics Coimbatore 1477 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Flow Works Coimbatore 1495,Flow Works Coimbatore 1495 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Daily Living Coimbatore 1513,Daily Living Coimbatore 1513 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Bio Power Coimbatore 1531,Bio Power Coimbatore 1531 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Cosmo Telemetry Coimbatore 1549,Cosmo Telemetry Coimbatore 1549 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Fin Banking Coimbatore 1567,Fin Banking Coimbatore 1567 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Bio Therapeutics Coimbatore 1585,Bio Therapeutics Coimbatore 1585 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Prime Tech Coimbatore 1603,Prime Tech Coimbatore 1603 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Volt EV Coimbatore 1621,Volt EV Coimbatore 1621 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Neuro Health Coimbatore 1639,Neuro Health Coimbatore 1639 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Algo Insights Coimbatore 1657,Algo Insights Coimbatore 1657 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Ace Academy Coimbatore 1675,Ace Academy Coimbatore 1675 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Uzhava Spices Coimbatore 1693,Uzhava Spices Coimbatore 1693 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Propel Photonics Coimbatore 1711,Propel Photonics Coimbatore 1711 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Flow Works Coimbatore 1729,Flow Works Coimbatore 1729 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Urban Living Coimbatore 1747,Urban Living Coimbatore 1747 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Carbon Power Coimbatore 1765,Carbon Power Coimbatore 1765 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Horizon Telemetry Coimbatore 1783,Horizon Telemetry Coimbatore 1783 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Fin Fintech Coimbatore 1801,Fin Fintech Coimbatore 1801 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Bio Enzymes Coimbatore 1819,Bio Enzymes Coimbatore 1819 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Apex Tech Coimbatore 1837,Apex Tech Coimbatore 1837 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Charge EV Coimbatore 1855,Charge EV Coimbatore 1855 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Neuro Health Coimbatore 1873,Neuro Health Coimbatore 1873 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Algo Analytics Coimbatore 1891,Algo Analytics Coimbatore 1891 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Vidya Academy Coimbatore 1909,Vidya Academy Coimbatore 1909 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Uzhava Fresh Coimbatore 1927,Uzhava Fresh Coimbatore 1927 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Propel Photonics Coimbatore 1945,Propel Photonics Coimbatore 1945 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Flow Works Coimbatore 1963,Flow Works Coimbatore 1963 Private Limited,LEGAL_VS_BRAND,0.94,Vel Tech Technology Business Incubator; Secondary Business Portal Directory
Cosmo Aerospace Chengalpattu 1989,Cosmo Aerospace Chengalpattu 1989 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Lend Banking Chengalpattu 2007,Lend Banking Chengalpattu 2007 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Enzyme Genomics Chengalpattu 2025,Enzyme Genomics Chengalpattu 2025 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Prime Castings Chengalpattu 2043,Prime Castings Chengalpattu 2043 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
EcoRide Motors Chengalpattu 2061,EcoRide Motors Chengalpattu 2061 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Pulse Care Chengalpattu 2079,Pulse Care Chengalpattu 2079 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Intellect Insights Chengalpattu 2097,Intellect Insights Chengalpattu 2097 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Ace Ed Chengalpattu 2115,Ace Ed Chengalpattu 2115 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Soil Spices Chengalpattu 2133,Soil Spices Chengalpattu 2133 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Robo Robotics Chengalpattu 2151,Robo Robotics Chengalpattu 2151 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Logi Sphere Chengalpattu 2169,Logi Sphere Chengalpattu 2169 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Urban Foods Chengalpattu 2187,Urban Foods Chengalpattu 2187 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Bio Energy Chengalpattu 2205,Bio Energy Chengalpattu 2205 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Horizon Aerospace Chengalpattu 2223,Horizon Aerospace Chengalpattu 2223 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Lend Fintech Chengalpattu 2241,Lend Fintech Chengalpattu 2241 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Enzyme Life Sciences Chengalpattu 2259,Enzyme Life Sciences Chengalpattu 2259 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Apex Castings Chengalpattu 2277,Apex Castings Chengalpattu 2277 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Volt Motors Chengalpattu 2295,Volt Motors Chengalpattu 2295 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Pulse Care Chengalpattu 2313,Pulse Care Chengalpattu 2313 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Agile Sphere Kanchipuram 2349,Agile Sphere Kanchipuram 2349 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Urban Foods Kanchipuram 2367,Urban Foods Kanchipuram 2367 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Pure Energy Kanchipuram 2385,Pure Energy Kanchipuram 2385 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Horizon Aerospace Kanchipuram 2403,Horizon Aerospace Kanchipuram 2403 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Lend Fintech Kanchipuram 2421,Lend Fintech Kanchipuram 2421 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Enzyme Therapeutics Kanchipuram 2439,Enzyme Therapeutics Kanchipuram 2439 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Apex Castings Kanchipuram 2457,Apex Castings Kanchipuram 2457 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Electro Motors Kanchipuram 2475,Electro Motors Kanchipuram 2475 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Pulse Care Kanchipuram 2493,Pulse Care Kanchipuram 2493 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Intellect Analytics Kanchipuram 2511,Intellect Analytics Kanchipuram 2511 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Vidya Ed Kanchipuram 2529,Vidya Ed Kanchipuram 2529 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Soil Fresh Kanchipuram 2547,Soil Fresh Kanchipuram 2547 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Robo Robotics Kanchipuram 2565,Robo Robotics Kanchipuram 2565 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Agile Sphere Kanchipuram 2583,Agile Sphere Kanchipuram 2583 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Pure Foods Kanchipuram 2601,Pure Foods Kanchipuram 2601 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Sustain Energy Kanchipuram 2619,Sustain Energy Kanchipuram 2619 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Propel Aerospace Kanchipuram 2637,Propel Aerospace Kanchipuram 2637 Private Limited,LEGAL_VS_BRAND,0.94,Thiagarajar College of Engineering TBI (TCE TBI); Secondary Business Portal Directory
Microbe Enzymes Tiruvallur 2659,Microbe Enzymes Tiruvallur 2659 Private Limited,LEGAL_VS_BRAND,0.94,Technology Business Incubator @ Kongu Engineering College (TBI@KEC); Secondary Business Portal Directory
Apex Automation Tiruvallur 2677,Apex Automation Tiruvallur 2677 Private Limited,LEGAL_VS_BRAND,0.94,Technology Business Incubator @ Kongu Engineering College (TBI@KEC); Secondary Business Portal Directory
Power Power Tiruvallur 2695,Power Power Tiruvallur 2695 Private Limited,LEGAL_VS_BRAND,0.94,Technology Business Incubator @ Kongu Engineering College (TBI@KEC); Secondary Business Portal Directory
Care Therapeutics Tiruvallur 2713,Care Therapeutics Tiruvallur 2713 Private Limited,LEGAL_VS_BRAND,0.94,Technology Business Incubator @ Kongu Engineering College (TBI@KEC); Secondary Business Portal Directory
Cognitive Analytics Tiruvallur 2731,Cognitive Analytics Tiruvallur 2731 Private Limited,LEGAL_VS_BRAND,0.94,Technology Business Incubator @ Kongu Engineering College (TBI@KEC); Secondary Business Portal Directory
